score,df,n_defs,tier_a_ratio,bilingual,bucket_code,head,en,key
0.9993,1,1,1.0,1.0,I,비개인정보,non-personal data,non personal data
0.9993,1,1,1.0,1.0,C,비국가 외부 위협,non-state external threats,non state external threats
0.9993,1,1,1.0,1.0,C,시스템적 위험 모델링,systemic risk modelling,systemic risk modelling
0.9993,1,1,1.0,1.0,A,시장 감독 기관,market surveillance authority,market surveillance authority
0.9993,1,1,1.0,1.0,F,시장 공급,making available on the market,making available on the market
0.9993,1,1,1.0,1.0,F,시장 출시,placing on the market,placing on the market
0.9993,1,1,1.0,1.0,B,외적 타당성,external validity,external validity
0.9993,1,1,1.0,1.0,D,유사 모델,similar model,similar model
0.9993,1,1,1.0,1.0,F,적절한,appropriate,appropriate
0.9993,1,1,1.0,1.0,G,조화 표준,harmonised standard,harmonised standard
0.9993,1,1,1.0,1.0,F,지정기관,notified body,notified body
0.9993,1,1,1.0,1.0,E,최첨단 수준,state of the art,state of the art
0.9993,1,1,1.0,1.0,J,프로파일링,profiling,profiling
0.99,1,2,0.0,1.0,B,AI 가드레일,AI 가드레일,ai 가드레일
0.99,1,2,0.0,1.0,F,AI 휴먼,AI 휴먼,ai 휴먼
0.99,1,2,0.0,1.0,D,과적합,과적합,과적합
0.7687,1,1,1.0,0.0,F,AI companion,AI companion,ai companion
0.7687,1,1,1.0,0.0,J,AI developer,AI developer,ai developer
0.7687,1,1,1.0,0.0,G,AI lifecycle,AI lifecycle,ai lifecycle
0.7687,1,1,1.0,0.0,J,Adoption,Adoption,adoption
0.7687,1,1,1.0,0.0,B,Advances in XAI,Advances in XAI,advances in xai
0.7687,1,1,1.0,0.0,D,Agent,Agent,agent
0.7687,1,1,1.0,0.0,F,Algorithm,Algorithm,algorithm
0.7687,1,1,1.0,0.0,D,Artificial general intelligence (AGI),Artificial general intelligence (AGI),artificial general intelligence agi
0.7687,1,1,1.0,0.0,I,Artificial intelligence (AI),Artificial intelligence (AI),artificial intelligence ai
0.7687,1,1,1.0,0.0,D,Autonomous planning,Autonomous planning,autonomous planning
0.7687,1,1,1.0,0.0,D,Biotechnology,Biotechnology,biotechnology
0.7687,1,1,1.0,0.0,C,Blackmail / extortion,Blackmail / extortion,blackmail extortion
0.7687,1,1,1.0,0.0,C,CTF (capture-the-flag) exercises,CTF (capture-the-flag) exercises,ctf capture the flag exercises
0.7687,1,1,1.0,0.0,J,Chemical weapon,Chemical weapon,chemical weapon
0.7687,1,1,1.0,0.0,C,Child Sexual Abuse Material (CSAM),Child Sexual Abuse Material (CSAM),child sexual abuse material csam
0.7687,1,1,1.0,0.0,J,Cloud computing: Computing services,Cloud computing: Computing services,cloud computing: computing services
